variant,est_sales_30d
40oz pink,54.6
1.18l pink,38.2
1.18l cream,12.7
40oz cream,10.9
1.2l pink,7.3
1.18l white,5.5
1.18l purple,3.6
40oz black,3.6
40oz coral,3.6
1.18l black,3.6
40oz purple,3.6
1.2l blue,3.6
1.18l green,3.6
40oz blue,3.6
1.2l purple,3.6
40oz grey,3.6
30oz black,1.8
0.9l white,1.8
30oz pink,1.8
40oz red,1.8
40oz vert foncé,1.8
1.18l turquoise,1.8
0.89l blue,1.8
1.18l blue,1.8
1.18l red,1.8
40oz white,1.8
1.2l cream,1.8
40oz yellow,1.8
1.19l pink,1.8
30oz blue,1.8
1.18l brown,1.8
20oz black,1.8
14oz blue,1.8
1.18l grey,1.8
0.59l grey,1.8
1.8l pink,1.8
1l grey,1.8
473ml pink,1.8
20oz pink,1.8
1l cream,1.8
1.2l white,1.8
1.18l bleu clair,1.8
887ml green,1.8
30oz green,1.8
40oz doré,1.8
20oz purple,1.8
30oz purple,0.0
1.2l green,0.0
20oz blue,0.0
0.59l coral,0.0
0.9l cream,0.0
40oz abricot,0.0
40oz turquoise,0.0
0.89l pink,0.0
800ml cream,0.0
1.12l pink,0.0
1.20l bleu clair,0.0
40oz green,0.0
1.2l abricot,0.0
590ml white,0.0
1.2l grey,0.0
0.75l pink,0.0
30oz coral,0.0
0.41l grey,0.0
30oz grey,0.0
0.8l cream,0.0
0.89l orange,0.0
0.59l cream,0.0
0.89l purple,0.0
30oz cream,0.0
40oz bleu clair,0.0
1.18l vert foncé,0.0
0.59l brown,0.0
30oz bleu clair,0.0
0.6l bleu clair,0.0
1.2l bleu clair,0.0
1.2l black,0.0
1.2l brown,0.0
30oz turquoise,0.0
30ml black,0.0
88l orange,0.0
30oz multicolore,0.0
40oz brown,0.0
