product,variant,est_sales_30d,demand_level,median_days_to_sell,competition,competition_level,trend,avg_price,offers,offers_coverage,confidence,sold_tracked,score,verdict,last_updated
Stanley Quencher 40oz (1.18L) Pink,quencher 40oz pink,69.7,High,14.8,56,High,Building,43.0,0,0,Medium,57,66,🔥 Strong,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Cream,quencher 40oz cream,17.1,Medium,1.5,35,Medium,Building,35.1,0,0,Medium,14,73,🚀 High Resale Opportunity,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Purple,quencher 40oz purple,8.6,Medium,3.0,20,Medium,Building,44.8,0,0,Medium,7,63,🔥 Strong,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) White,quencher 40oz white,7.3,Low,1.8,6,Low,Building,40.8,0,0,Medium,6,55,🔥 Strong,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Blue,quencher 40oz blue,7.3,Low,9.9,6,Low,Building,40.5,0,0,Medium,6,39,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Black,quencher 40oz black,7.3,Low,16.5,20,Medium,Building,38.8,0,0,Medium,6,30,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Green,quencher 40oz green,3.7,Low,0.8,15,Low,Building,49.9,0,0,Medium,3,57,🔥 Strong,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Grey,quencher 40oz grey,3.7,Low,1.8,4,Low,Building,42.0,0,0,Medium,3,55,🔥 Strong,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Vert Foncé,quencher 40oz vert foncé,3.7,Low,8.8,2,Low,Building,30.5,0,0,Medium,3,39,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Red,quencher 40oz red,3.7,Low,,4,Low,Building,49.6,0,0,Medium,3,30,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) White,quencher 30oz white,2.4,Low,1.0,0,Low,Building,27.0,0,0,Low,2,40,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Flip Straw 30oz (0.89L) Pink,flip straw 30oz pink,2.4,Low,1.1,0,Low,Building,40.0,0,0,Low,2,34,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) Grey,quencher 30oz grey,2.4,Low,1.6,0,Low,Building,45.0,0,0,Low,2,34,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 20oz (0.59L) Pink,quencher 20oz pink,2.4,Low,1.9,3,Low,Building,51.4,0,0,Low,2,46,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) Blue,quencher 30oz blue,2.4,Low,15.6,7,Low,Building,43.7,0,0,Low,2,26,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Coral,quencher 40oz coral,2.4,Low,,2,Low,Building,62.5,0,0,Low,2,22,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 20oz (0.59L) Black,quencher 20oz black,2.4,Low,,2,Low,Building,51.2,0,0,Low,2,22,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Bleu Clair,quencher 40oz bleu clair,2.4,Low,,6,Low,Building,52.3,0,0,Low,2,22,⚠️ Weak,2026-07-10 19:00 UTC
Stanley IceFlow 30oz (0.89L) Green,iceflow 30oz green,2.4,Low,,0,Low,Building,55.0,0,0,Low,2,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) Black,quencher 30oz black,1.2,Low,0.8,1,Low,Building,39.2,0,0,Low,1,52,🔥 Strong,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) Cream,quencher 30oz cream,1.2,Low,1.6,3,Low,Building,30.8,0,0,Low,1,46,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) Coral,quencher 30oz coral,1.2,Low,3.0,2,Low,Building,43.0,0,0,Low,1,46,👍 Worth Watching,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Turquoise,quencher 40oz turquoise,1.2,Low,14.7,4,Low,Building,38.2,0,0,Low,1,26,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) Pink,quencher 30oz pink,1.2,Low,,5,Low,Building,39.5,0,0,Low,1,22,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 30oz (0.89L) Purple,quencher 30oz purple,1.2,Low,,5,Low,Building,49.0,0,0,Low,1,22,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Yellow,quencher 40oz yellow,1.2,Low,,0,Low,Building,28.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 14oz (0.41L) Blue,quencher 14oz blue,1.2,Low,,0,Low,Building,19.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Flip Straw 20oz (0.59L) Grey,flip straw 20oz grey,1.2,Low,,0,Low,Building,45.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 1.8l Pink,1.8l pink,1.2,Low,,0,Low,Building,48.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 1.0l Grey,1.0l grey,1.2,Low,,0,Low,Building,38.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 16oz (0.47L) Pink,16oz pink,1.2,Low,,0,Low,Building,20.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 1.0l Cream,1.0l cream,1.2,Low,,0,Low,Building,38.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 20oz (0.59L) Bleu Clair,20oz bleu clair,1.2,Low,,0,Low,Building,45.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 30oz (0.89L) Multicolore,30oz multicolore,1.2,Low,,0,Low,Building,55.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Flip Straw 30oz (0.89L) Green,flip straw 30oz green,1.2,Low,,0,Low,Building,45.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 40oz (1.18L) Argenté,40oz argenté,1.2,Low,,0,Low,Building,22.0,0,0,Low,1,10,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 20oz (0.59L) Blue,20oz blue,0.0,Low,,1,Low,Building,30.0,0,0,Low,0,15,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 20oz (0.59L) Coral,quencher 20oz coral,0.0,Low,,1,Low,Building,33.0,0,0,Low,0,15,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Brown,quencher 40oz brown,0.0,Low,,4,Low,Building,56.8,0,0,Low,0,15,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 40oz (1.18L) Abricot,quencher 40oz abricot,0.0,Low,,2,Low,Building,120.0,0,0,Low,0,15,⚠️ Weak,2026-07-10 19:00 UTC
Stanley 0.8l Cream,0.8l cream,0.0,Low,,2,Low,Building,35.5,0,0,Low,0,15,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 1.12l Pink,quencher 1.12l pink,0.0,Low,,1,Low,Building,40.0,0,0,Low,0,15,⚠️ Weak,2026-07-10 19:00 UTC
Stanley Quencher 20oz (0.59L) White,quencher 20oz white,0.0,Low,,1,Low,Building,40.0,0,0,Low,0,15,⚠️ Weak,2026-07-10 19:00 UTC
