product,variant,est_sales_30d,demand_level,median_days_to_sell,competition,competition_level,trend,avg_price,offers,offers_coverage,confidence,sold_tracked,score,verdict,last_updated
Stanley Quencher 40oz (1.18L) Pink,quencher 40oz pink,155.6,High,,68,High,Building,44.8,13,59,Low,10,62,🔥 Strong,2026-07-31 15:49 UTC
Stanley Quencher 40oz (1.18L) Purple,quencher 40oz purple,46.7,High,1.0,2,Low,Building,34.6,0,2,Low,3,82,🚀 High Resale Opportunity,2026-07-31 15:49 UTC
Stanley Quencher 30oz (0.89L) Pink,quencher 30oz pink,31.1,High,,9,Low,Building,40.5,0,8,Low,2,57,🔥 Strong,2026-07-31 15:49 UTC
Stanley Flip Straw 40oz (1.18L) Pink,flip straw 40oz pink,15.6,Medium,0.9,0,Low,Building,15.9,0,0,Low,1,74,🚀 High Resale Opportunity,2026-07-31 15:49 UTC
Stanley Quencher 40oz (1.18L) Red,quencher 40oz red,15.6,Medium,1.0,1,Low,Building,50.0,0,1,Low,1,71,🚀 High Resale Opportunity,2026-07-31 15:49 UTC
Stanley Quencher 40oz (1.18L) Cream,quencher 40oz cream,15.6,Medium,,5,Low,Building,38.8,0,3,Low,1,46,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley Quencher 1.12l Pink,quencher 1.12l pink,15.6,Medium,,0,Low,Building,40.0,0,0,Low,1,44,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley 16oz (0.47L) Pink,16oz pink,15.6,Medium,,2,Low,Building,35.2,0,2,Low,1,46,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley Flip Straw 30oz (0.89L) Pink,flip straw 30oz pink,15.6,Medium,,1,Low,Building,57.5,0,1,Low,1,46,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley Quencher 40oz (1.18L) Grey,quencher 40oz grey,15.6,Medium,,0,Low,Building,34.0,0,0,Low,1,44,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley Flip Straw 20oz (0.59L) Purple,flip straw 20oz purple,15.6,Medium,,0,Low,Building,50.0,0,0,Low,1,44,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley Quencher 40oz (1.18L) Abricot,quencher 40oz abricot,15.6,Medium,,0,Low,Building,34.0,0,0,Low,1,44,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley 40oz (1.18L) Coral,40oz coral,15.6,Medium,,0,Low,Building,45.0,0,0,Low,1,44,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley IceFlow 20oz (0.59L) White,iceflow 20oz white,15.6,Medium,,0,Low,Building,40.0,0,0,Low,1,44,👍 Worth Watching,2026-07-31 15:49 UTC
Stanley Quencher 40oz (1.18L) White,quencher 40oz white,0.0,Low,,2,Low,Building,46.5,0,1,Low,0,12,⚠️ Weak,2026-07-31 15:49 UTC
Stanley Quencher 30oz (0.89L) Purple,quencher 30oz purple,0.0,Low,,1,Low,Building,70.0,0,1,Low,0,12,⚠️ Weak,2026-07-31 15:49 UTC
Stanley 14.0l Pink,14.0l pink,0.0,Low,,1,Low,Building,55.0,0,1,Low,0,12,⚠️ Weak,2026-07-31 15:49 UTC
Stanley 0.8l Pink,0.8l pink,0.0,Low,,1,Low,Building,4.0,0,1,Low,0,12,⚠️ Weak,2026-07-31 15:49 UTC
Stanley 20oz (0.59L) Pink,20oz pink,0.0,Low,,2,Low,Building,40.0,0,2,Low,0,12,⚠️ Weak,2026-07-31 15:49 UTC
Stanley 20oz (0.59L) Coral,20oz coral,0.0,Low,,1,Low,Building,25.0,0,1,Low,0,12,⚠️ Weak,2026-07-31 15:49 UTC
