keyword,title,price,likes,views,brand,country,url,status,sold_confirmed,offers,published_at,age_hours,age_band,score,verdict
stanley bottle,Stanley Cup,51.5,0,0,Stanley,,https://www.vinted.fr/items/9150906314,active,False,0,2026-06-12 01:46:58 CEST,5.0,24h,3,👀 Early Watchlist
stanley bottle,Sage Stanley,17.0,2,0,Stanley,,https://www.vinted.fr/items/9150761241,active,False,0,2026-06-12 00:46:59 CEST,6.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,51.5,0,0,Stanley,,https://www.vinted.fr/items/9150972565,active,False,0,2026-06-12 03:47:00 CEST,3.0,24h,3,👀 Early Watchlist
stanley bottle,"Stanley Bottle Quencher Protour Tumbler 1,18L (NEW)",45.0,1,0,Stanley,,https://www.vinted.fr/items/9150536090,active,False,0,2026-06-11 23:47:11 CEST,7.0,24h,3,👀 Early Watchlist
stanley bottle,"Stanley Bottle Quencher Protour Tumbler 1,18L (NEW)",45.0,4,0,Stanley,,https://www.vinted.fr/items/9150620386,active,False,0,2026-06-11 23:47:13 CEST,7.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley Cross Bottle / Mug isotherme – Original avec certificat,65.0,6,0,Stanley,,https://www.vinted.fr/items/9150483669,active,False,0,2026-06-11 23:47:15 CEST,7.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,49.99,15,0,Stanley,,https://www.vinted.fr/items/9150158897,active,False,0,2026-06-11 22:47:25 CEST,8.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup rose,22.0,0,0,Stanley,,https://www.vinted.fr/items/9150826566,active,False,0,2026-06-12 00:47:28 CEST,6.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,51.99,51,0,Stanley,,https://www.vinted.fr/items/9150013344,active,False,5,2026-06-11 21:47:31 CEST,9.0,24h,12,🔥 Trending
stanley bottle,"Stanley Quencher H2.0 FlowState 1,18L (40oz) Neuf avec boîte",37.49,1,0,Stanley,,https://www.vinted.fr/items/9149602150,active,False,0,2026-06-11 21:47:41 CEST,9.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley suburban mug,18.0,5,0,Stanley,,https://www.vinted.fr/items/9149279253,active,False,0,2026-06-11 20:47:43 CEST,10.0,24h,3,👀 Early Watchlist
stanley bottle,"Stanley Quencher H2.0 FlowState 1,18L (40oz) New",37.49,4,0,Stanley,,https://www.vinted.fr/items/9148141331,active,False,0,2026-06-11 18:47:50 CEST,12.0,24h,3,👀 Early Watchlist
stanley bottle,Bouteille Isotherme Stanley The Legendary Classic Bottle Ash 1L,40.0,10,0,Stanley,,https://www.vinted.fr/items/9147774530,active,False,0,2026-06-11 17:47:57 CEST,13.0,24h,3,👀 Early Watchlist
stanley bottle,"Stanley | Slim Bottle | 0,6L | Nieuw",32.0,0,0,Stanley,,https://www.vinted.fr/items/9150472448,active,False,0,2026-06-11 23:47:59 CEST,7.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley Adventure To-Go Bottle 1l Thermosflasche,25.0,53,0,Stanley,,https://www.vinted.fr/items/9147212601,active,False,0,2026-06-11 16:48:07 CEST,14.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley x FRGMT Classic Vacuum 1.0L Bottle,195.0,0,0,Stanley,,https://www.vinted.fr/items/9146723184,active,False,0,2026-06-11 16:48:14 CEST,14.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley bottle gourde rose crème beige,35.0,4,0,Stanley,,https://www.vinted.fr/items/9146771882,active,False,0,2026-06-11 16:48:15 CEST,14.0,24h,3,👀 Early Watchlist
