keyword,title,price,likes,views,brand,country,url,status,offers,published_at,age_hours,score,verdict
Crocs femme,Crocs Sandal,35.0,1,0,Crocs,,https://www.vinted.fr/items/8874573550,active,0,2026-05-09 17:03:10 CEST,24.0,0,⚠️ Low
Crocs femme,Crocs pailletées noir/argent holographique – jamais portées taille 39/40,30.0,70,0,Crocs,,https://www.vinted.fr/items/8872626459,active,8,2026-05-10 14:03:11 CEST,3.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Lot de 10 pins pour crocs,20.0,54,0,Crocs,,https://www.vinted.fr/items/8860834636,active,3,2026-05-09 17:03:11 CEST,24.0,13,🔥🔥 Strong Demand
Crocs femme,Paire de Crocs bleu ciel T.38/39,20.0,29,0,Crocs,,https://www.vinted.fr/items/8874095504,active,0,2026-05-09 17:03:21 CEST,24.0,3,➖ Moderate
Crocs femme,sabot mule crocs bleu 38-39,28.0,25,0,Crocs,,https://www.vinted.fr/items/8873633039,active,0,2026-05-10 15:03:21 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Sandalias Crocs plataforma,34.0,47,0,Crocs,,https://www.vinted.fr/items/6770911867,active,0,2025-08-13 17:03:22 CEST,6480.0,0,⚠️ Low
Crocs femme,Tongs Crocs,10.0,3,0,Crocs,,https://www.vinted.fr/items/8875179340,active,0,2022-09-28 17:03:31 CEST,31680.0,0,⚠️ Low
Crocs femme,Crocs,30.0,154,0,Crocs,,https://www.vinted.fr/items/8860166901,active,20,2026-05-09 17:03:33 CEST,24.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Sabot crocs gris foncé - taille 39/40,34.0,88,0,Crocs,,https://www.vinted.fr/items/8830277494,active,17,2026-05-07 17:03:36 CEST,72.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Platform Crocs,25.0,55,0,Crocs,,https://www.vinted.fr/items/8856991100,active,15,2026-05-08 17:03:43 CEST,48.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs Unisex Pantoffeln Badelatschen,8.0,3,0,Crocs,,https://www.vinted.fr/items/8875485800,active,0,2024-06-19 17:03:44 CEST,16560.0,0,⚠️ Low
Crocs femme,"Cosci comodi, di alta qualità e leggeri",37.0,118,0,Crocs,,https://www.vinted.fr/items/8789519263,active,8,2026-05-09 17:03:49 CEST,24.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Mules Crocs 37/37 dorées neuves,15.0,1,0,Crocs,,https://www.vinted.fr/items/8875675643,sold,0,2025-07-14 17:03:55 CEST,7200.0,0,⚠️ Low
Crocs femme,Crocs weiß Gr.38,40.0,99,0,Crocs,,https://www.vinted.fr/items/8799596191,active,0,2026-05-09 17:03:58 CEST,24.0,10,🔥 Trending
Crocs femme,Crocs ballerinas,23.0,109,0,Crocs,,https://www.vinted.fr/items/8842328733,active,0,2026-05-07 17:04:02 CEST,72.0,4,➖ Moderate
Crocs femme,Crocs flash Mcqueen,11.0,47,0,Crocs,,https://www.vinted.fr/items/8873964731,active,0,,24.0,5,📈 Growing
Crocs femme,Crocs rose pâle t39 7m9w,30.0,2,0,Crocs,,https://www.vinted.fr/items/8875564288,active,0,2024-10-17 17:04:13 CEST,13680.0,0,⚠️ Low
Crocs femme,Crocs,10.0,1,0,Crocs,,https://www.vinted.fr/items/8875728022,active,0,2025-09-12 17:04:17 CEST,5760.0,0,⚠️ Low
Crocs femme,Chaussures Crocs édition limitée T 40/41,45.0,104,0,Crocs,,https://www.vinted.fr/items/8830049450,active,3,2026-05-05 17:04:20 CEST,120.0,8,🔥 Trending
Crocs femme,Charms Pins Crocs Smiley neufs étiquetés,8.0,0,0,Crocs,,https://www.vinted.fr/items/8874886259,active,0,2026-05-09 17:04:27 CEST,24.0,0,⚠️ Low
Crocs femme,Crocs crush clog,40.0,155,0,Crocs,,https://www.vinted.fr/items/8575122600,active,8,2026-04-12 17:04:28 CEST,672.0,10,🔥 Trending
Crocs femme,baby pink crocs,30.0,23,0,Crocs,,https://www.vinted.fr/items/8872363879,active,0,2026-05-10 13:04:33 CEST,4.0,14,🔥🔥 Strong Demand
Crocs femme,Crocs noir,11.0,70,0,Crocs,,https://www.vinted.fr/items/8873418258,active,11,2026-05-10 15:04:41 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs neuves,20.0,0,0,Crocs,,https://www.vinted.fr/items/8875350410,active,0,2023-08-24 17:04:45 CEST,23760.0,0,⚠️ Low
Crocs femme,Rare Isabella Crocs sUPERcomfy!,27.0,11,0,Crocs,,https://www.vinted.fr/items/8863100878,active,0,2026-05-09 17:04:47 CEST,24.0,1,⚠️ Low
Crocs femme,Crocs neuves avec son sac,40.0,78,0,Crocs,,https://www.vinted.fr/items/7371955146,active,7,2025-11-11 17:04:53 CET,4320.0,10,🔥 Trending
Crocs femme,Crocs,35.0,11,0,Crocs,,https://www.vinted.fr/items/8865127975,active,0,2026-05-09 17:04:57 CEST,24.0,1,⚠️ Low
Crocs femme,Crocs bleu,29.0,14,0,Crocs,,https://www.vinted.fr/items/8863284003,active,0,2026-05-09 17:04:58 CEST,24.0,1,⚠️ Low
Crocs femme,Sandales crocs,20.0,0,0,Crocs,,https://www.vinted.fr/items/8875784423,active,0,2025-12-11 17:05:04 CET,3600.0,0,⚠️ Low
Crocs femme,"Infradito con paillettes molto comode, eleganti e di alta qualità",57.0,62,0,Crocs,,https://www.vinted.fr/items/8715984320,active,0,2026-04-26 17:05:10 CEST,336.0,0,⚠️ Low
Crocs femme,Crocs baya,30.0,4,0,Crocs,,https://www.vinted.fr/items/8874974701,active,0,2026-05-09 17:05:12 CEST,24.0,0,⚠️ Low
Crocs femme,Platform white crocs size 7,20.0,3,0,Crocs,,https://www.vinted.fr/items/8875589840,active,0,2024-11-16 17:05:15 CET,12960.0,0,⚠️ Low
Crocs femme,🪼🌸dreamy y2k Crocs Mega Crush Platform Clog,25.0,29,0,Crocs,,https://www.vinted.fr/items/8861099559,active,0,2026-05-09 17:05:25 CEST,24.0,3,➖ Moderate
Crocs femme,"Cosci comodi, di alta qualità e leggeri",49.0,74,0,Crocs,,https://www.vinted.fr/items/8789529027,active,0,2026-05-09 17:05:29 CEST,24.0,7,📈 Growing
Crocs femme,Sac crocs avec les pince,6.0,3,0,Crocs,,https://www.vinted.fr/items/8872996926,active,0,2026-05-10 14:05:32 CEST,3.0,2,➖ Moderate
Crocs femme,Crocs classic Clogs Bone white Maat 38/39 EU - Nieuw met kaartjes,25.0,1,0,Crocs,,https://www.vinted.fr/items/8875491332,active,0,2024-04-20 17:05:37 CEST,18000.0,0,⚠️ Low
Crocs femme,Crocs,7.0,6,0,Crocs,,https://www.vinted.fr/items/8875202442,sold,0,2022-09-28 17:05:39 CEST,31680.0,0,⚠️ Low
Crocs femme,Crocs haute et noire.,25.0,0,0,Crocs,,https://www.vinted.fr/items/8875527527,active,0,2024-06-19 17:05:43 CEST,16560.0,0,⚠️ Low
Crocs femme,Crocs blanches Bayaband,45.0,30,0,Crocs,,https://www.vinted.fr/items/8816445949,active,0,2026-05-04 17:05:49 CEST,144.0,0,⚠️ Low
Crocs femme,Crocs negras plataforma 37,45.0,15,0,Crocs,,https://www.vinted.fr/items/8874871232,active,0,2026-05-09 17:05:53 CEST,24.0,2,➖ Moderate
Crocs femme,Crocs,20.0,4,0,Crocs,,https://www.vinted.fr/items/8872840313,active,3,2026-05-10 14:05:53 CEST,3.0,19,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs Classic noir Homme/femme,30.0,16,0,Crocs,,https://www.vinted.fr/items/8873060708,active,0,2026-05-10 14:05:59 CEST,3.0,13,🔥🔥 Strong Demand
Crocs femme,Crocs rose fushia 37/38,25.0,48,0,Crocs,,https://www.vinted.fr/items/8869373161,active,8,2026-05-10 00:06:06 CEST,17.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,crocs bleu ciel,25.0,9,0,Crocs,,https://www.vinted.fr/items/8872130954,active,4,2026-05-10 13:06:07 CEST,4.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs noires neuve,30.0,7,0,Crocs,,https://www.vinted.fr/items/8872808582,active,3,2026-05-10 14:06:13 CEST,3.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs size 41,30.0,36,0,Crocs x Beams,,https://www.vinted.fr/items/8772316824,active,0,2026-05-09 17:06:17 CEST,24.0,4,➖ Moderate
Crocs femme,crocs taille 40,20.0,34,0,Crocs,,https://www.vinted.fr/items/8862954591,active,0,2026-05-09 17:06:19 CEST,24.0,3,➖ Moderate
Crocs femme,Crocs baya clog k beige,40.0,3,0,Crocs,,https://www.vinted.fr/items/8875033298,active,0,2026-05-09 17:06:27 CEST,24.0,0,⚠️ Low
Crocs femme,Crocs platform,25.0,48,0,Crocs,,https://www.vinted.fr/items/8820566289,active,0,2026-05-04 17:06:30 CEST,144.0,1,⚠️ Low
Crocs femme,Crocs Classic clogs Zwart nieuw 36/37,25.0,2,0,Crocs,,https://www.vinted.fr/items/8875500579,active,0,2024-04-20 17:06:31 CEST,18000.0,0,⚠️ Low
Crocs femme,Crocs Cars Saetta McQueen adulte rouge – édition spéciale 37-38,32.88,0,0,Crocs,,https://www.vinted.fr/items/8874981828,active,0,2024-08-18 17:06:37 CEST,15120.0,0,⚠️ Low
Crocs femme,Crocs sandals W10 size40,38.0,41,0,Crocs,,https://www.vinted.fr/items/8832250650,active,0,2026-05-05 17:06:43 CEST,120.0,1,⚠️ Low
Crocs femme,Crocs compensé,15.0,8,0,Crocs,,https://www.vinted.fr/items/8874352252,active,0,2026-05-09 17:06:45 CEST,24.0,1,⚠️ Low
Crocs femme,Stylishe Crocs mit Plateau,13.0,0,0,Crocs,,https://www.vinted.fr/items/8875766780,active,0,2025-09-12 17:06:47 CEST,5760.0,0,⚠️ Low
Crocs femme,Crocs37/38,9.0,4,0,Crocs,,https://www.vinted.fr/items/8873975797,active,0,2026-05-10 15:06:54 CEST,2.0,5,📈 Growing
Crocs femme,Hello kitty crocs,17.0,9,0,Crocs,,https://www.vinted.fr/items/8873706586,active,0,2026-05-10 15:06:56 CEST,2.0,11,🔥 Trending
Crocs femme,Paire de Crocs blanche T.38/39,20.0,47,0,Crocs,,https://www.vinted.fr/items/8874130122,active,4,2026-05-10 15:07:00 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Sabot Crocs,23.0,9,0,Crocs,,https://www.vinted.fr/items/8872244633,active,0,2026-05-10 13:07:07 CEST,4.0,5,📈 Growing
Crocs femme,Getaway platform flip - crocs,30.0,25,0,Crocs,,https://www.vinted.fr/items/8873905879,active,4,2026-05-10 15:07:09 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Ballerine crocs 36,10.0,0,0,Crocs,,https://www.vinted.fr/items/8875261438,active,0,,24.0,0,⚠️ Low
Crocs femme,💙 Crocs bleues – taille 41/42 (9–11),35.0,19,0,Crocs,,https://www.vinted.fr/items/8817539051,active,0,2026-05-04 17:07:18 CEST,144.0,0,⚠️ Low
Crocs femme,Crocs pantoffels,27.0,25,0,Crocs,,https://www.vinted.fr/items/8647362593,active,0,2026-04-19 17:07:21 CEST,504.0,0,⚠️ Low
Crocs femme,Pins Crocs Chic,1.3,2,0,Crocs,,https://www.vinted.fr/items/8873171777,active,0,2026-05-10 14:07:24 CEST,3.0,2,➖ Moderate
Crocs femme,Crocs Rainbow Clogs 🌈,8.0,1,0,Crocs,,https://www.vinted.fr/items/8875401112,active,0,2024-01-21 17:07:31 CET,20160.0,0,⚠️ Low
Crocs femme,"Infradito eleganti, di alta qualità e leggere",55.0,54,0,Crocs,,https://www.vinted.fr/items/8716072619,active,0,2026-04-26 17:07:35 CEST,336.0,0,⚠️ Low
Crocs femme,sabot mule crocs lila 39-40,29.0,22,0,Crocs,,https://www.vinted.fr/items/8872634188,active,3,2026-05-10 14:07:36 CEST,3.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,"Crocs Schuhe, Größe 45/46",25.0,0,0,Crocs,,https://www.vinted.fr/items/8875421020,active,0,2023-09-23 17:07:44 CEST,23040.0,0,⚠️ Low
Crocs femme,Crocs zwart NIEUW,29.5,46,0,Crocs,,https://www.vinted.fr/items/8873510248,active,9,2026-05-10 15:07:46 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Zuecos,20.0,0,0,Crocs,,https://www.vinted.fr/items/8875570008,active,0,2024-07-19 17:07:48 CEST,15840.0,0,⚠️ Low
Crocs femme,Blaue Crocs,20.0,4,0,Crocs,,https://www.vinted.fr/items/8873406332,active,0,2024-01-21 17:07:53 CET,20160.0,0,⚠️ Low
Crocs femme,Crocs sandals,10.0,12,0,Crocs,,https://www.vinted.fr/items/8873274049,active,0,2026-05-10 14:07:57 CEST,3.0,10,🔥 Trending
Crocs femme,Paire de Crocs rose T.38/39,20.0,10,0,Crocs,,https://www.vinted.fr/items/8874160819,active,0,2026-05-09 17:07:59 CEST,24.0,1,⚠️ Low
Crocs femme,Silver glitter fur lined crocs,20.0,1,0,Crocs,,https://www.vinted.fr/items/8875386460,active,0,2023-07-25 17:08:07 CEST,24480.0,0,⚠️ Low
Crocs femme,Crocs classics beige / écru – Taille 41,34.0,12,0,Crocs,,https://www.vinted.fr/items/8871332566,active,0,2026-05-10 12:08:09 CEST,5.0,6,📈 Growing
Crocs femme,Roze aardbeien crocs,11.0,31,0,Crocs,,https://www.vinted.fr/items/8873728963,active,0,2026-05-10 15:08:14 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs,10.0,2,0,Crocs,,https://www.vinted.fr/items/8872738886,active,0,2026-05-10 14:08:21 CEST,3.0,2,➖ Moderate
Crocs femme,Crocs 42-43 léopard neuve,35.0,80,0,Crocs,,https://www.vinted.fr/items/8868910591,active,6,2026-05-09 22:08:24 CEST,19.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,crocs bayaband blanche 38-39,32.0,1,0,Crocs,,https://www.vinted.fr/items/8874929264,active,0,2026-05-09 17:08:26 CEST,24.0,0,⚠️ Low
Crocs femme,Green crocs,15.0,10,0,Crocs,,https://www.vinted.fr/items/8875067334,active,0,2026-05-09 17:08:36 CEST,24.0,1,⚠️ Low
Crocs femme,Crocs unisexe rouge,20.0,7,0,Crocs,,https://www.vinted.fr/items/8872003664,active,0,2026-05-10 13:08:37 CEST,4.0,4,➖ Moderate
Crocs femme,Sac Crocs,25.0,45,0,Crocs,,https://www.vinted.fr/items/8873941117,active,4,2026-05-10 15:08:37 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs noir,30.0,103,0,Crocs,,https://www.vinted.fr/items/8859577250,sold,0,2026-05-09 17:08:46 CEST,24.0,15,🔥🔥 Strong Demand
Crocs femme,Crocs Platform,30.0,50,0,Crocs,,https://www.vinted.fr/items/8872537613,active,5,2026-05-10 13:08:48 CEST,4.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs noir,35.0,55,0,Crocs,,https://www.vinted.fr/items/8869347257,active,14,2026-05-10 00:08:49 CEST,17.0,20,🔥🔥🔥 Very Strong Demand
