keyword,title,price,likes,views,brand,country,url,status,offers,published_at,age_hours,score,verdict
Crocs femme,Crocs,30.0,50,0,Crocs,,https://www.vinted.fr/items/8860166901,active,0,,9.0,6,📈 Growing
Crocs femme,Lot de 10 pins pour crocs,20.0,12,0,Crocs,,https://www.vinted.fr/items/8860834636,active,0,,8.0,5,📈 Growing
Crocs femme,Sabot crocs gris foncé - taille 39/40,34.0,30,0,Crocs,,https://www.vinted.fr/items/8830277494,active,0,,48.0,4,➖ Moderate
Crocs femme,Crocs bae clog,23.0,9,0,Crocs,,https://www.vinted.fr/items/8860943549,active,0,,7.0,5,📈 Growing
Crocs femme,Crocs Rose,35.0,23,0,Crocs,,https://www.vinted.fr/items/8859859013,active,0,,10.0,6,📈 Growing
Crocs femme,Chaussures Crocs édition limitée T 40/41,45.0,70,0,Crocs,,https://www.vinted.fr/items/8830049450,active,0,,72.0,4,➖ Moderate
Crocs femme,Crocs woman black,29.99,8,0,Crocs,,https://www.vinted.fr/items/8861024001,active,0,,7.0,5,📈 Growing
Crocs femme,Original crocs Oyster size 36,25.0,71,0,Crocs,,https://www.vinted.fr/items/8348360676,active,0,,1344.0,0,⚠️ Low
Crocs femme,superbes sandales CROCS,25.0,69,0,Crocs,,https://www.vinted.fr/items/8830666681,active,0,,72.0,4,➖ Moderate
Crocs femme,Crocs green lightweight size M6 W8,30.0,109,0,Crocs,,https://www.vinted.fr/items/8838063316,active,0,,48.0,5,📈 Growing
Crocs femme,Crocs femme,30.0,19,0,Crocs,,https://www.vinted.fr/items/8860723797,active,0,,8.0,5,📈 Growing
Crocs femme,Crocs ballerinas,23.0,73,0,Crocs,,https://www.vinted.fr/items/8842328733,active,0,,48.0,5,📈 Growing
Crocs femme,Platform Crocs,25.0,33,0,Crocs,,https://www.vinted.fr/items/8856991100,active,0,,15.0,5,📈 Growing
Crocs femme,Crocs size 41,30.0,32,0,Crocs x Beams,,https://www.vinted.fr/items/8772316824,active,0,,24.0,5,📈 Growing
Crocs femme,Crocs beige crème- très bon état- confort au top,20.0,11,0,Crocs,,https://www.vinted.fr/items/8861001082,active,0,,7.0,5,📈 Growing
Crocs femme,crocs 36/37 noir jamais utilisé neuf,25.0,28,0,Crocs,,https://www.vinted.fr/items/8859866345,active,0,,10.0,6,📈 Growing
Crocs femme,Crocs crush clog,40.0,143,0,Crocs,,https://www.vinted.fr/items/8575122600,active,0,,672.0,0,⚠️ Low
Crocs femme,Crocs neuves avec son sac,40.0,66,0,Crocs,,https://www.vinted.fr/items/7371955146,active,0,,4320.0,0,⚠️ Low
Crocs femme,Crocs femme,30.0,88,0,Crocs,,https://www.vinted.fr/items/8854646245,active,0,,19.0,6,📈 Growing
Crocs femme,"Infradito con paillettes molto comode, eleganti e di alta qualità",57.0,58,0,Crocs,,https://www.vinted.fr/items/8715984320,active,0,,336.0,0,⚠️ Low
Crocs femme,Crocs platform,25.0,39,0,Crocs,,https://www.vinted.fr/items/8820566289,active,0,,96.0,2,➖ Moderate
Crocs femme,Sandali platform Crocs grigi con charms oro Jibbitz,26.5,83,0,Crocs,,https://www.vinted.fr/items/8427636776,active,0,,1008.0,0,⚠️ Low
Crocs femme,"Infradito con paillettes molto comode, eleganti e di alta qualità",39.0,90,0,Crocs,,https://www.vinted.fr/items/8715966243,active,0,,336.0,0,⚠️ Low
