keyword,title,price,likes,views,brand,country,url
stanley bottle,Stanley cup,51.5,0,0,Stanley,,https://www.vinted.fr/items/9150972565
stanley bottle,Stanley Cup,51.5,0,0,Stanley,,https://www.vinted.fr/items/9150906314
stanley bottle,Sage Stanley,17.0,2,0,Stanley,,https://www.vinted.fr/items/9150761241
stanley bottle,"Stanley Bottle Quencher Protour Tumbler 1,18L (NEW)",45.0,4,0,Stanley,,https://www.vinted.fr/items/9150620386
stanley bottle,"Stanley Bottle Quencher Protour Tumbler 1,18L (NEW)",45.0,1,0,Stanley,,https://www.vinted.fr/items/9150536090
stanley bottle,Stanley Cross Bottle / Mug isotherme – Original avec certificat,65.0,6,0,Stanley,,https://www.vinted.fr/items/9150483669
stanley bottle,Stanley cup,49.99,15,0,Stanley,,https://www.vinted.fr/items/9150158897
stanley bottle,Stanley cup rose,22.0,0,0,Stanley,,https://www.vinted.fr/items/9150826566
stanley bottle,Stanley cup,51.99,51,0,Stanley,,https://www.vinted.fr/items/9150013344
stanley bottle,"Stanley Quencher H2.0 FlowState 1,18L (40oz) Neuf avec boîte",37.49,1,0,Stanley,,https://www.vinted.fr/items/9149602150
stanley bottle,Stanley suburban mug,18.0,5,0,Stanley,,https://www.vinted.fr/items/9149279253
stanley bottle,"Stanley Quencher H2.0 FlowState 1,18L (40oz) New",37.49,4,0,Stanley,,https://www.vinted.fr/items/9148141331
stanley bottle,Bouteille Isotherme Stanley The Legendary Classic Bottle Ash 1L,40.0,10,0,Stanley,,https://www.vinted.fr/items/9147774530
stanley bottle,"Stanley | Slim Bottle | 0,6L | Nieuw",32.0,0,0,Stanley,,https://www.vinted.fr/items/9150472448
stanley bottle,Stanley Adventure To-Go Bottle 1l Thermosflasche,25.0,53,0,Stanley,,https://www.vinted.fr/items/9147212601
stanley bottle,Stanley x FRGMT Classic Vacuum 1.0L Bottle,195.0,0,0,Stanley,,https://www.vinted.fr/items/9146723184
stanley bottle,Stanley bottle gourde rose crème beige,35.0,4,0,Stanley,,https://www.vinted.fr/items/9146771882
stanley bottle,Stanley Classic Bottle,49.0,5,0,Stanley,,https://www.vinted.fr/items/9145484331
stanley bottle,Stanley 30oz cup,10.0,12,0,Stanley,,https://www.vinted.fr/items/9144458330
stanley bottle,Stanley | Classic Wellspring Bottle (nieuw),27.5,15,0,Stanley,,https://www.vinted.fr/items/9142530147
stanley bottle,Roze Stanley thermosfles (nieuw),30.0,56,0,Stanley,,https://www.vinted.fr/items/9142530906
stanley bottle,Stanley cup,26.0,34,0,Stanley,,https://www.vinted.fr/items/9142504789
stanley bottle,Colourful Stripe Stanley Tumbler,30.0,15,0,Stanley,,https://www.vinted.fr/items/9141912165
stanley bottle,Stanley Cup,45.0,75,0,Stanley,,https://www.vinted.fr/items/9142058280
stanley bottle,"Stanley Quencher H2.0 1,18L Floral Rose Tumbler Avec Paille Gourde Isotherme",49.0,23,0,Stanley,,https://www.vinted.fr/items/9141566209
stanley bottle,"Stanley Aladdin Half Gallon Thermosflasche 1,9 l Vintage 1995 Made in USA Thermoskanne 1990er",39.0,44,0,Stanley,,https://www.vinted.fr/items/9129684793
stanley bottle,Stanley cup,23.0,9,0,Stanley,,https://www.vinted.fr/items/9139567561
stanley bottle,Stanley Barbie,50.0,14,0,Stanley,,https://www.vinted.fr/items/9140526978
stanley bottle,Stanley cup,48.99,70,0,Stanley,,https://www.vinted.fr/items/9137951936
stanley bottle,Primark mini Stanley dupe,4.0,0,0,Primark,,https://www.vinted.fr/items/9150776929
stanley bottle,Primark Stanley dupe,6.0,0,0,Primark,,https://www.vinted.fr/items/9150773443
stanley bottle,Stanley Quencher Evergreen Glow,38.0,1,0,Stanley,,https://www.vinted.fr/items/9137480583
stanley bottle,Stanley,25.0,0,0,Stanley,,https://www.vinted.fr/items/9140445092
stanley bottle,"Stanley Aladdin Thermoskanne 1,9L U.S.A (2 Quart) Vintage – voll funktionsfähig",35.0,13,0,Stanley,,https://www.vinted.fr/items/9135487594
stanley bottle,Rose Quartz Stanley Tumbler,25.0,12,0,Stanley,,https://www.vinted.fr/items/9132897050
stanley bottle,Kleine Owala Freesip Kids 16oz 475ml Wasserflasche Tumbler Bottle,25.0,24,0,Owala,,https://www.vinted.fr/items/9144817112
stanley bottle,Stanley Tumbler,48.0,14,0,Stanley,,https://www.vinted.fr/items/9130397030
stanley bottle,Stanley dupe water bottle,15.0,0,0,,,https://www.vinted.fr/items/9145008858
stanley bottle,Stanley Tumbler,40.0,4,0,Stanley,,https://www.vinted.fr/items/9130448270
stanley bottle,Stanley Tumbler,68.0,3,0,Stanley,,https://www.vinted.fr/items/9130429223
stanley bottle,Brand New Stanley IceFlow Flip Straw Tumbler 30oz / 887ml,50.0,20,0,Stanley,,https://www.vinted.fr/items/9129152474
stanley bottle,Stanley water bottle,25.0,6,0,Stanley,,https://www.vinted.fr/items/9128985648
stanley bottle,Stanley Quench Tumbler 40oz | Insulated Travel Mug | New,30.5,25,0,Stanley,,https://www.vinted.fr/items/9125363646
stanley bottle,Stanley crossbodytas,30.0,35,0,Stanley,,https://www.vinted.fr/items/9128733028
stanley bottle,Stanley 1913 Classic Bottle 1LT - 24Hr Hot or Cold,52.0,3,0,Stanley,,https://www.vinted.fr/items/9126769843
stanley bottle,"Stanley | Slim Bottle | 0,6L | Nieuw",32.0,19,0,Stanley,,https://www.vinted.fr/items/9125142362
stanley bottle,"Stanley | Slim Bottle | 0,6L | Nieuw",32.0,15,0,Stanley,,https://www.vinted.fr/items/9125135958
