keyword,title,price,likes,views,brand,country,url
Crocs femme,Crocs Sandal,35.0,1,0,Crocs,,https://www.vinted.fr/items/8874573550
Crocs femme,Crocs pailletées noir/argent holographique – jamais portées taille 39/40,30.0,70,0,Crocs,,https://www.vinted.fr/items/8872626459
Crocs femme,Lot de 10 pins pour crocs,20.0,54,0,Crocs,,https://www.vinted.fr/items/8860834636
Crocs femme,Paire de Crocs bleu ciel T.38/39,20.0,29,0,Crocs,,https://www.vinted.fr/items/8874095504
Crocs femme,Sandalias Crocs plataforma,34.0,47,0,Crocs,,https://www.vinted.fr/items/6770911867
Crocs femme,sabot mule crocs bleu 38-39,28.0,25,0,Crocs,,https://www.vinted.fr/items/8873633039
Crocs femme,Tongs Crocs,10.0,3,0,Crocs,,https://www.vinted.fr/items/8875179340
Crocs femme,Crocs,30.0,154,0,Crocs,,https://www.vinted.fr/items/8860166901
Crocs femme,Sabot crocs gris foncé - taille 39/40,34.0,88,0,Crocs,,https://www.vinted.fr/items/8830277494
Crocs femme,Platform Crocs,25.0,55,0,Crocs,,https://www.vinted.fr/items/8856991100
Crocs femme,Crocs Unisex Pantoffeln Badelatschen,8.0,3,0,Crocs,,https://www.vinted.fr/items/8875485800
Crocs femme,"Cosci comodi, di alta qualità e leggeri",37.0,118,0,Crocs,,https://www.vinted.fr/items/8789519263
Crocs femme,Mules Crocs 37/37 dorées neuves,15.0,1,0,Crocs,,https://www.vinted.fr/items/8875675643
Crocs femme,Crocs weiß Gr.38,40.0,99,0,Crocs,,https://www.vinted.fr/items/8799596191
Crocs femme,Crocs ballerinas,23.0,109,0,Crocs,,https://www.vinted.fr/items/8842328733
Crocs femme,Crocs flash Mcqueen,11.0,47,0,Crocs,,https://www.vinted.fr/items/8873964731
Crocs femme,Crocs rose pâle t39 7m9w,30.0,2,0,Crocs,,https://www.vinted.fr/items/8875564288
Crocs femme,Crocs,10.0,1,0,Crocs,,https://www.vinted.fr/items/8875728022
Crocs femme,Chaussures Crocs édition limitée T 40/41,45.0,104,0,Crocs,,https://www.vinted.fr/items/8830049450
Crocs femme,Charms Pins Crocs Smiley neufs étiquetés,8.0,0,0,Crocs,,https://www.vinted.fr/items/8874886259
Crocs femme,Crocs crush clog,40.0,155,0,Crocs,,https://www.vinted.fr/items/8575122600
Crocs femme,baby pink crocs,30.0,23,0,Crocs,,https://www.vinted.fr/items/8872363879
Crocs femme,Crocs noir,11.0,70,0,Crocs,,https://www.vinted.fr/items/8873418258
Crocs femme,Crocs neuves,20.0,0,0,Crocs,,https://www.vinted.fr/items/8875350410
Crocs femme,Rare Isabella Crocs sUPERcomfy!,27.0,11,0,Crocs,,https://www.vinted.fr/items/8863100878
Crocs femme,Crocs neuves avec son sac,40.0,78,0,Crocs,,https://www.vinted.fr/items/7371955146
Crocs femme,Crocs,35.0,11,0,Crocs,,https://www.vinted.fr/items/8865127975
Crocs femme,Crocs bleu,29.0,14,0,Crocs,,https://www.vinted.fr/items/8863284003
Crocs femme,Sandales crocs,20.0,0,0,Crocs,,https://www.vinted.fr/items/8875784423
Crocs femme,"Infradito con paillettes molto comode, eleganti e di alta qualità",57.0,62,0,Crocs,,https://www.vinted.fr/items/8715984320
Crocs femme,Crocs baya,30.0,4,0,Crocs,,https://www.vinted.fr/items/8874974701
Crocs femme,Platform white crocs size 7,20.0,3,0,Crocs,,https://www.vinted.fr/items/8875589840
Crocs femme,🪼🌸dreamy y2k Crocs Mega Crush Platform Clog,25.0,29,0,Crocs,,https://www.vinted.fr/items/8861099559
Crocs femme,Sac crocs avec les pince,6.0,3,0,Crocs,,https://www.vinted.fr/items/8872996926
Crocs femme,"Cosci comodi, di alta qualità e leggeri",49.0,74,0,Crocs,,https://www.vinted.fr/items/8789529027
Crocs femme,Crocs classic Clogs Bone white Maat 38/39 EU - Nieuw met kaartjes,25.0,1,0,Crocs,,https://www.vinted.fr/items/8875491332
Crocs femme,Crocs,7.0,6,0,Crocs,,https://www.vinted.fr/items/8875202442
Crocs femme,Crocs haute et noire.,25.0,0,0,Crocs,,https://www.vinted.fr/items/8875527527
Crocs femme,Crocs blanches Bayaband,45.0,30,0,Crocs,,https://www.vinted.fr/items/8816445949
Crocs femme,Crocs negras plataforma 37,45.0,15,0,Crocs,,https://www.vinted.fr/items/8874871232
Crocs femme,Crocs,20.0,4,0,Crocs,,https://www.vinted.fr/items/8872840313
Crocs femme,Crocs Classic noir Homme/femme,30.0,16,0,Crocs,,https://www.vinted.fr/items/8873060708
Crocs femme,Crocs rose fushia 37/38,25.0,48,0,Crocs,,https://www.vinted.fr/items/8869373161
Crocs femme,crocs bleu ciel,25.0,9,0,Crocs,,https://www.vinted.fr/items/8872130954
Crocs femme,Crocs noires neuve,30.0,7,0,Crocs,,https://www.vinted.fr/items/8872808582
