keyword,title,price,likes,views,brand,country,url
Crocs femme,Crocs,30.0,50,0,Crocs,,https://www.vinted.fr/items/8860166901
Crocs femme,Lot de 10 pins pour crocs,20.0,12,0,Crocs,,https://www.vinted.fr/items/8860834636
Crocs femme,Sabot crocs gris foncé - taille 39/40,34.0,30,0,Crocs,,https://www.vinted.fr/items/8830277494
Crocs femme,Crocs bae clog,23.0,9,0,Crocs,,https://www.vinted.fr/items/8860943549
Crocs femme,Crocs Rose,35.0,23,0,Crocs,,https://www.vinted.fr/items/8859859013
Crocs femme,Chaussures Crocs édition limitée T 40/41,45.0,70,0,Crocs,,https://www.vinted.fr/items/8830049450
Crocs femme,Crocs woman black,29.99,8,0,Crocs,,https://www.vinted.fr/items/8861024001
Crocs femme,Original crocs Oyster size 36,25.0,71,0,Crocs,,https://www.vinted.fr/items/8348360676
Crocs femme,superbes sandales CROCS,25.0,69,0,Crocs,,https://www.vinted.fr/items/8830666681
Crocs femme,Crocs green lightweight size M6 W8,30.0,109,0,Crocs,,https://www.vinted.fr/items/8838063316
Crocs femme,Crocs femme,30.0,19,0,Crocs,,https://www.vinted.fr/items/8860723797
Crocs femme,Crocs ballerinas,23.0,73,0,Crocs,,https://www.vinted.fr/items/8842328733
Crocs femme,Platform Crocs,25.0,33,0,Crocs,,https://www.vinted.fr/items/8856991100
Crocs femme,Crocs size 41,30.0,32,0,Crocs x Beams,,https://www.vinted.fr/items/8772316824
Crocs femme,Crocs beige crème- très bon état- confort au top,20.0,11,0,Crocs,,https://www.vinted.fr/items/8861001082
Crocs femme,crocs 36/37 noir jamais utilisé neuf,25.0,28,0,Crocs,,https://www.vinted.fr/items/8859866345
Crocs femme,Crocs crush clog,40.0,143,0,Crocs,,https://www.vinted.fr/items/8575122600
Crocs femme,Crocs neuves avec son sac,40.0,66,0,Crocs,,https://www.vinted.fr/items/7371955146
Crocs femme,Crocs femme,30.0,88,0,Crocs,,https://www.vinted.fr/items/8854646245
Crocs femme,"Infradito con paillettes molto comode, eleganti e di alta qualità",57.0,58,0,Crocs,,https://www.vinted.fr/items/8715984320
Crocs femme,Crocs platform,25.0,39,0,Crocs,,https://www.vinted.fr/items/8820566289
Crocs femme,Sandali platform Crocs grigi con charms oro Jibbitz,26.5,83,0,Crocs,,https://www.vinted.fr/items/8427636776
Crocs femme,"Infradito con paillettes molto comode, eleganti e di alta qualità",39.0,90,0,Crocs,,https://www.vinted.fr/items/8715966243
Crocs femme,Crocs blanches Bayaband,45.0,19,0,Crocs,,https://www.vinted.fr/items/8816445949
Crocs femme,Crocs taupe,30.0,49,0,Crocs,,https://www.vinted.fr/items/8856992245
Crocs femme,"Cosci comodi, di alta qualità e leggeri",49.0,59,0,Crocs,,https://www.vinted.fr/items/8789529027
Crocs femme,Charmes crocs,6.0,31,0,Crocs,,https://www.vinted.fr/items/8838732821
Crocs femme,💙 Crocs bleues – taille 41/42 (9–11),35.0,12,0,Crocs,,https://www.vinted.fr/items/8817539051
Crocs femme,Crocs Black Ballet Flats – Lightweight & Comfortable,14.5,22,0,Crocs,,https://www.vinted.fr/items/8762416929
Crocs femme,Crocs noir,30.0,53,0,Crocs,,https://www.vinted.fr/items/8859577250
Crocs femme,Crocs Classic (38/39),45.0,9,0,Crocs,,https://www.vinted.fr/items/8839561310
Crocs femme,Crocs sandals W10 size40,38.0,25,0,Crocs,,https://www.vinted.fr/items/8832250650
Crocs femme,Crocs blanches plate-forme pims fantaisie,65.0,7,0,Crocs,,https://www.vinted.fr/items/8770674197
Crocs femme,Aura clog plate-forme,30.0,84,0,Crocs,,https://www.vinted.fr/items/8657460812
Crocs femme,Aura clogs,25.0,8,0,Crocs,,https://www.vinted.fr/items/8661530570
Crocs femme,Crocs Bride,35.0,5,0,Crocs,,https://www.vinted.fr/items/8861157675
Crocs femme,Crocs Bubble Crush Clog Triple Black,60.0,39,0,Crocs,,https://www.vinted.fr/items/8571371623
Crocs femme,Crocs ECHO,55.0,42,0,Crocs,,https://www.vinted.fr/items/8560858420
Crocs femme,Pins crocs,8.0,73,0,Crocs,,https://www.vinted.fr/items/8849839663
Crocs femme,Crocs Classic clogs Bone white Maat 38/39 EU - Nieuw met kaartjes,25.0,9,0,Crocs,,https://www.vinted.fr/items/8861078029
Crocs femme,"Sandali Crocs usati poche volte, come nuovi",50.0,10,0,Crocs,,https://www.vinted.fr/items/8815929496
Crocs femme,Crocs noir mode,35.0,29,0,Crocs,,https://www.vinted.fr/items/8854554727
Crocs femme,Pins crocs,5.0,31,0,Crocs,,https://www.vinted.fr/items/8848549312
Crocs femme,Crocs rose d’été,25.0,8,0,Crocs,,https://www.vinted.fr/items/8861069185
Crocs femme,Cros Soho two strap sandals,55.0,92,0,Crocs,,https://www.vinted.fr/items/8794166660
Crocs femme,"Infradito eleganti, di alta qualità e leggere",55.0,48,0,Crocs,,https://www.vinted.fr/items/8716072619
Crocs femme,Crocs,9.0,17,0,Crocs,,https://www.vinted.fr/items/8858527708
Crocs femme,CROCS compensée noires,40.0,12,0,Crocs,,https://www.vinted.fr/items/7957922656
Crocs femme,Sabots crocs noirs,28.0,35,0,Crocs,,https://www.vinted.fr/items/8859458324
